522	099	492	144
492	144	453	194
453	194	412	245
412	245	375	285
375	285	330	330
330	330	284	362
284	362	240	382
240	382	200	412
200	412	180	433
180	433	173	459
173	459	178	490
178	490	190	512
190	512	210	515
210	515	238	503
238	503	265	506
265	506	282	500
282	500	301	479
301	479	325	462

284	362	296 399
296 399	312	434
312	434	325	462
325	462	348	471
348	471	375	487
375	487	400	487
400	487	417	482
417	482	450	500
450	500	480	505
480	505	500	477
500	477	518	452
518	452	559	411
559	411	585	368
375	285	395	307
395	307	415	327
415	327	438	340
438	340	464	343
464	343	522	335
522	335	585	368
585	368	660	370
660	370	705	394
